ticker,window,from,to,id,name,pnl,returnPct,maxDrawdownPct,sharpe,trades
SPY,Development,2016-01-01,2021-01-01,stochrsi,Stochastic RSI pullback,24220.497937750697,24.220497937750697,10.887224397789417,0.689785836494023,36
SPY,Development,2016-01-01,2021-01-01,buy-hold,Buy and hold (95%),99732.50281877196,99.73250281877196,32.77101823883375,0.8535549933047526,1
SPY,Later sample,2021-01-01,2026-01-01,sma,SMA crossover,11816.416139923123,11.816416139923124,27.290238193319627,0.273556855633028,11
SPY,Later sample,2021-01-01,2026-01-01,rsi,RSI threshold,37478.145197610196,37.478145197610196,19.597688483279196,0.5624908590900217,4
SPY,Later sample,2021-01-01,2026-01-01,donchian,Donchian breakout,29739.93912660086,29.73993912660086,8.758278034641354,0.6115262763293762,27
SPY,Later sample,2021-01-01,2026-01-01,sma200,Price above SMA 200,65944.13647179402,65.94413647179401,19.525515746547423,0.974323632239297,15
SPY,Later sample,2021-01-01,2026-01-01,ema,EMA crossover,62169.75000987493,62.16975000987493,12.058145653848722,0.9952896010314934,15
SPY,Later sample,2021-01-01,2026-01-01,macd,MACD signal crossover,4970.322590655051,4.9703225906550506,15.258582841001935,0.14760621858842093,58
SPY,Later sample,2021-01-01,2026-01-01,adx,ADX directional trend,18580.19308920442,18.580193089204418,6.90514410229898,0.7974534643387206,9
SPY,Later sample,2021-01-01,2026-01-01,ichimoku,Ichimoku conversion / base,49860.80692781121,49.86080692781121,19.941691376147443,0.8229264927426011,20
SPY,Later sample,2021-01-01,2026-01-01,supertrend,Supertrend reversal,36885.058978232206,36.88505897823221,15.608623175988704,0.6842146730188448,22
SPY,Later sample,2021-01-01,2026-01-01,psar,Parabolic SAR reversal,952.2762602172006,0.9522762602172006,26.483705799079267,0.07053507958757076,64
SPY,Later sample,2021-01-01,2026-01-01,bb-breakout,Bollinger momentum breakout,9147.610281975169,9.147610281975169,8.185242873939034,0.2814600475961365,25
SPY,Later sample,2021-01-01,2026-01-01,bb-reversion,Bollinger mean reversion,34567.578458967124,34.56757845896713,8.77308185648765,0.6089491976516473,23
SPY,Later sample,2021-01-01,2026-01-01,connors,Connors RSI 4 pullback,29611.3088173922,29.6113088173922,8.071754940148287,0.8570621382975628,41
SPY,Later sample,2021-01-01,2026-01-01,stochastic,Stochastic oversold recovery,-5459.655428495127,-5.459655428495127,21.58828566525182,-0.041845902238696324,21
SPY,Later sample,2021-01-01,2026-01-01,cci,CCI trend impulse,24609.734604137964,24.609734604137966,13.54277635398062,0.5521508083102921,35
SPY,Later sample,2021-01-01,2026-01-01,williams,Williams R recovery,13292.730106437317,13.292730106437316,17.852949273271303,0.27300383329291367,31
SPY,Later sample,2021-01-01,2026-01-01,roc,Rate-of-change momentum,54564.73776949913,54.56473776949913,27.13569014179038,0.8614977876884813,21
SPY,Later sample,2021-01-01,2026-01-01,cmf,Chaikin money flow trend,41332.25651361709,41.33225651361709,12.309680835713714,0.7738052121952166,47
SPY,Later sample,2021-01-01,2026-01-01,mfi,Money flow oversold,56878.4927095508,56.878492709550805,19.59549945783988,0.7519411814205349,5
SPY,Later sample,2021-01-01,2026-01-01,keltner,Keltner channel breakout,-1728.5831187549775,-1.7285831187549774,13.10752406364715,-0.017180291117335256,27
SPY,Later sample,2021-01-01,2026-01-01,aroon,Aroon trend switch,48656.523863246315,48.65652386324631,14.793515759817174,0.8499182001548438,17
SPY,Later sample,2021-01-01,2026-01-01,tsi,True strength momentum,48450.31897473117,48.45031897473117,11.817874545244337,0.8625190271770372,14
SPY,Later sample,2021-01-01,2026-01-01,ultimate,Ultimate oscillator recovery,25281.43252956969,25.281432529569692,8.59570324101252,0.7978307428033492,6
SPY,Later sample,2021-01-01,2026-01-01,stochrsi,Stochastic RSI pullback,23200.069459524675,23.200069459524673,17.538478463221466,0.6331020921097535,32
SPY,Later sample,2021-01-01,2026-01-01,buy-hold,Buy and hold (95%),89541.8801181982,89.5418801181982,23.53505563864483,0.8637232157024476,1
QQQ,Development,2016-01-01,2021-01-01,sma,SMA crossover,102323.231174254,102.323231174254,17.575813948804463,1.0212134393475094,11
QQQ,Development,2016-01-01,2021-01-01,rsi,RSI threshold,81030.21860666497,81.03021860666497,21.391834613609724,0.8159930331951339,6
QQQ,Development,2016-01-01,2021-01-01,donchian,Donchian breakout,58948.741416940175,58.94874141694017,14.215832968908545,0.9279235843497351,24
